(ep: 4, it: 115800, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.464, acc_r: 0.820
(ep: 4, it: 120800, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.489, acc_r: 0.780
(ep: 4, it: 125800, t: 0.001[s], ept: 0.09/0.11[h]) loss_total: 0.567, acc_r: 0.710
(ep: 4, it: 130800, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.581, acc_r: 0.650
(ep: 4, it: 135800, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.646, acc_r: 0.640
(ep: 4, it: 140800, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.587, acc_r: 0.710
(ep: 4, it: 145800, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.552, acc_r: 0.720
(ep: 4, it: 150800, t: 0.001[s], ept: 0.11/0.11[h]) loss_total: 0.569, acc_r: 0.700
(ep: 5, it: 4400, t: 0.001[s], ept: 0.00/0.11[h]) loss_total: 0.674, acc_r: 0.590
(ep: 5, it: 9400, t: 0.001[s], ept: 0.01/0.11[h]) loss_total: 0.559, acc_r: 0.740
(ep: 5, it: 14400, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.526, acc_r: 0.770
(ep: 5, it: 19400, t: 0.001[s], ept: 0.01/0.11[h]) loss_total: 0.526, acc_r: 0.780
(ep: 5, it: 24400, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.652, acc_r: 0.620
(ep: 5, it: 29400, t: 0.001[s], ept: 0.02/0.11[h]) loss_total: 0.465, acc_r: 0.780
(ep: 5, it: 34400, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.600, acc_r: 0.640
(ep: 5, it: 39400, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.498, acc_r: 0.700
(ep: 5, it: 44400, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.548, acc_r: 0.670
(ep: 5, it: 49400, t: 0.001[s], ept: 0.03/0.11[h]) loss_total: 0.618, acc_r: 0.650
(ep: 5, it: 54400, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.534, acc_r: 0.710
(ep: 5, it: 59400, t: 0.002[s], ept: 0.04/0.11[h]) loss_total: 0.598, acc_r: 0.700
(ep: 5, it: 64400, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.565, acc_r: 0.690
(ep: 5, it: 69400, t: 0.001[s], ept: 0.05/0.11[h]) loss_total: 0.494, acc_r: 0.760
(ep: 5, it: 74400, t: 0.002[s], ept: 0.05/0.11[h]) loss_total: 0.617, acc_r: 0.700
(ep: 5, it: 79400, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.638, acc_r: 0.700
(ep: 5, it: 84400, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.640, acc_r: 0.640
(ep: 5, it: 89400, t: 0.002[s], ept: 0.06/0.11[h]) loss_total: 0.496, acc_r: 0.750
(ep: 5, it: 94400, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.414, acc_r: 0.860
(ep: 5, it: 99400, t: 0.002[s], ept: 0.07/0.11[h]) loss_total: 0.524, acc_r: 0.700
(ep: 5, it: 104400, t: 0.001[s], ept: 0.07/0.11[h]) loss_total: 0.627, acc_r: 0.700
(ep: 5, it: 109400, t: 0.001[s], ept: 0.08/0.11[h]) loss_total: 0.567, acc_r: 0.740
(ep: 5, it: 114400, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.635, acc_r: 0.710
(ep: 5, it: 119400, t: 0.002[s], ept: 0.08/0.11[h]) loss_total: 0.621, acc_r: 0.650
(ep: 5, it: 124400, t: 0.001[s], ept: 0.09/0.11[h]) loss_total: 0.618, acc_r: 0.660
(ep: 5, it: 129400, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.552, acc_r: 0.680
(ep: 5, it: 134400, t: 0.002[s], ept: 0.09/0.11[h]) loss_total: 0.532, acc_r: 0.700
(ep: 5, it: 139400, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.599, acc_r: 0.730
(ep: 5, it: 144400, t: 0.002[s], ept: 0.10/0.11[h]) loss_total: 0.504, acc_r: 0.760
(ep: 5, it: 149400, t: 0.001[s], ept: 0.11/0.11[h]) loss_total: 0.545, acc_r: 0.720
(ep: 6, it: 3000, t: 0.002[s], ept: 0.00/0.12[h]) loss_total: 0.597, acc_r: 0.670
(ep: 6, it: 8000, t: 0.001[s], ept: 0.01/0.11[h]) loss_total: 0.516, acc_r: 0.760
(ep: 6, it: 13000, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.511, acc_r: 0.770
(ep: 6, it: 18000, t: 0.002[s], ept: 0.01/0.11[h]) loss_total: 0.569, acc_r: 0.700
(ep: 6, it: 23000, t: 0.001[s], ept: 0.02/0.11[h]) loss_total: 0.556, acc_r: 0.740
(ep: 6, it: 28000, t: 0.002[s], ept: 0.02/0.11[h]) loss_total: 0.478, acc_r: 0.750
(ep: 6, it: 33000, t: 0.001[s], ept: 0.02/0.11[h]) loss_total: 0.604, acc_r: 0.680
(ep: 6, it: 38000, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.588, acc_r: 0.710
(ep: 6, it: 43000, t: 0.002[s], ept: 0.03/0.11[h]) loss_total: 0.578, acc_r: 0.700
